2E0HTZ,Enzo
3C5XA,Alan
3D2KT,Vrata
3D2VJ,Andy
3G0YP,Harald
3X5A,Mike
4B2A,Mike
4O3RB,Ruzhdi
4O3ZZ,Dave
4S7LRG,Mats
4S7WHG,Phil
4U7FOC,Robert
4U0ITU,Mike
4X3A,Riki
4X4DK,Ami
4X4NJ,Riki
4Z4KX,Mark
5B4AGN,Bob
5B4AGU,Rumen
5H1TW,Tom
5H2JD,John
5H3TW,Tom
5H0T,Tom
5N2LKZ,Owen
5Q2A,Kim
5R8AL,Alain
5R8HA,Phil
5T0CW,Phil
5U7LF,Lee
5U7MF,Mike
5U7WP,Fred
5V4VJ,Ken
5V7MF,Mike
5V7VJ,Andy
5W1VJ,Andy
5X1NH,Nick
5Z4LS,Nick
5Z4VJ,Andy
5Z4ZK,Don
6O0X,Baldur
6Y2T,Yuri
6Y5WJ,Josh
6Y8XF,Nigel
7J1AEN,Mike
7S5Q,Rune
8P3A,Yuri
8P9AA,Yuri
8P9AL,Yuri
8P9HT,John
8P9IF,Bob
8P9NX,Peter
8P9XA,Alan
8P0P,Peter
8Q7MS,Mats
8Q7WH,Phil
9A1AA,Ivo
9A1DX,Djuro
9A4FM,Zdenko
9G5FD,Don
9G5FH,Fred
9G5MF,Mike
9G5SW,Steve
9G5VJ,Andy
9G5XA,Alan
9G5ZM,Bob
9H3TF,Nigel
9H3ZV,Andy
9J2BO,Brian
9L1AB,Andy
9L1NH,Nick
9L5A,Mike
9M6PWT,Phil
9U0X,Baldur
9X0PY,Carl
9Y4H,Glen
A9XU,Owen
A35FL,Per
A61AJ,Robert
A65BD,Fred
A71CW,Chris
AA1TR,Petr
AA2A,Allen
AA3B,Bud
AB4I,Steve
AC4RO,Holger
AC4TT,Norm
AC5K,Wes
AC6YM,Gerd
AD5A,Mike
AD8CW,Doug
AE1T,Peter
AH3D,Martti
AH8F,Andy
AI2Q,Alex
AK4Z,John
AK5X,Bill
AT0T,Tom
AY6EF,Raul
BV7YA,Motoaki
C5DX,Alan
C21ZM,Bob
C56C,Alan
C56SW,Steve
CE2AWW,Dale
CE2SV,Dale
CE3AA,Motoaki
CF3FOC,Pista
CG3IAE,Vlad
CN2MF,Mike
CN2OA,Mike
CN2YM,Andy
CR6IK,Manuel
CT1BQH,Carlos
CT3BH,Martti
CT4IK,Manuel
CU2KG,Martti
CX1AA,Motoaki
CX3AA,Motoaki
D68TW,Tom
DF1DT,Klaus
DF2IC,Greg
DF2QZ,Hardy
DF4BV,Heinz
DF4XX,Kurt
DF7CB,Christoph
DF20006WM,Baldur
DJ1YFK,Fabian
DJ4KW,Gerd
DJ5CW,Fabian
DJ5IL,Karl
DJ5ZN,Klaus
DJ6SI,Baldur
DJ6ZM,Tof
DJ7PR,Leo
